"registrikood";"tegevusala_kood";"tegevusala_nimetus"
"75009196";"85511 ";"Spordikoolid "
"75010588";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75038581";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70000208";"71209 ";"Muu teimimine ja analüüs "
"75020440";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75027494";"85312 ";"Põhikoolide tegevus "
"75027637";"91011 ";"Raamatukogude tegevus "
"75019856";"93291 ";"Kultuurikeskused ja rahvamajad "
"75019841";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75014675";"93291 ";"Kultuurikeskused ja rahvamajad "
"75021333";"85312 ";"Põhikoolide tegevus "
"75010772";"85102 ";"Lasteaedade tegevus "
"75010714";"85312 ";"Põhikoolide tegevus "
"75011866";"91011 ";"Raamatukogude tegevus "
"75027985";"93291 ";"Kultuurikeskused ja rahvamajad "
"75010708";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75026135";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75026129";"85529 ";"Muu huvikoolitus "
"75026158";"93291 ";"Kultuurikeskused ja rahvamajad "
"75026106";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75034258";"93111 ";"Spordirajatiste käitus "
"70000272";"84112 ";"Rahandus- ja fiskaalpoliitikaga seotud tegevused "
"70009244";"84119 ";"Mujal liigitamata riigi haldustegevus "
"70001024";"85529 ";"Muu huvikoolitus "
"70001946";"91012 ";"Arhiivide tegevus "
"74000033";"90011 ";"Teatri- ja tantsuetenduste lavastamine ja esitamine "
"70002934";"85312 ";"Põhikoolide tegevus "
"75023154";"91011 ";"Raamatukogude tegevus "
"75023071";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75035335";"85529 ";"Muu huvikoolitus "
"75038463";"93291 ";"Kultuurikeskused ja rahvamajad "
"75022700";"91011 ";"Raamatukogude tegevus "
"75039400";"93291 ";"Kultuurikeskused ja rahvamajad "
"75010051";"85313 ";"Gümnaasiumide tegevus "
"75010022";"93291 ";"Kultuurikeskused ja rahvamajad "
"75034442";"85529 ";"Muu huvikoolitus "
"75010016";"68329 ";"Muu kinnisvarahaldus või haldusega seotud tegevused "
"75010003";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75010045";"85102 ";"Lasteaedade tegevus "
"75035192";"91011 ";"Raamatukogude tegevus "
"70003840";"85321 ";"Kutseõppeasutuste tegevus "
"75025182";"85313 ";"Gümnaasiumide tegevus "
"75011671";"93291 ";"Kultuurikeskused ja rahvamajad "
"75025070";"85102 ";"Lasteaedade tegevus "
"75025064";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75025124";"85521 ";"Muusika- ja kunstikoolitus "
"75025130";"85312 ";"Põhikoolide tegevus "
"75025153";"85313 ";"Gümnaasiumide tegevus "
"75025147";"85102 ";"Lasteaedade tegevus "
"75026566";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75033632";"93111 ";"Spordirajatiste käitus "
"75025087";"85511 ";"Spordikoolid "
"75025093";"85102 ";"Lasteaedade tegevus "
"75025176";"85313 ";"Gümnaasiumide tegevus "
"75012096";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75005624";"85102 ";"Lasteaedade tegevus "
"75027465";"91011 ";"Raamatukogude tegevus "
"75032733";"93291 ";"Kultuurikeskused ja rahvamajad "
"75038807";"85312 ";"Põhikoolide tegevus "
"75021505";"91011 ";"Raamatukogude tegevus "
"75032822";"85102 ";"Lasteaedade tegevus "
"70006105";"91021 ";"Muuseumide tegevus "
"75007356";"85313 ";"Gümnaasiumide tegevus "
"75007401";"85102 ";"Lasteaedade tegevus "
"75007391";"91011 ";"Raamatukogude tegevus "
"75007362";"93291 ";"Kultuurikeskused ja rahvamajad "
"75007347";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75037736";"85529 ";"Muu huvikoolitus "
"75020977";"85102 ";"Lasteaedade tegevus "
"75024194";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75035772";"85529 ";"Muu huvikoolitus "
"75024202";"91011 ";"Raamatukogude tegevus "
"75024219";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020960";"85102 ";"Lasteaedade tegevus "
"75020954";"85102 ";"Lasteaedade tegevus "
"75020948";"85102 ";"Lasteaedade tegevus "
"70002880";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75024225";"85521 ";"Muusika- ja kunstikoolitus "
"75025199";"85313 ";"Gümnaasiumide tegevus "
"75023361";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75032029";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75024231";"85313 ";"Gümnaasiumide tegevus "
"75025207";"85313 ";"Gümnaasiumide tegevus "
"70000183";"71209 ";"Muu teimimine ja analüüs "
"75034850";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75013948";"91011 ";"Raamatukogude tegevus "
"75038523";"96041 ";"Saunade, solaariumite ja massaaşisalongide tegevus jm füüsilise "
"75011582";"85102 ";"Lasteaedade tegevus "
"70003477";"84122 ";"Tervishoiu ja sotsiaalelu haldus "
"70000310";"84119 ";"Mujal liigitamata riigi haldustegevus "
"75007511";"93291 ";"Kultuurikeskused ja rahvamajad "
"75004286";"85312 ";"Põhikoolide tegevus "
"75022508";"85312 ";"Põhikoolide tegevus "
"75036524";"91011 ";"Raamatukogude tegevus "
"75022479";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75004642";"93291 ";"Kultuurikeskused ja rahvamajad "
"75004613";"85312 ";"Põhikoolide tegevus "
"75004636";"91011 ";"Raamatukogude tegevus "
"70006317";"84119 ";"Mujal liigitamata riigi haldustegevus "
"70007340";"84112 ";"Rahandus- ja fiskaalpoliitikaga seotud tegevused "
"70004809";"84119 ";"Mujal liigitamata riigi haldustegevus "
"74000101";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"74001127";"84231 ";"Kohtute tegevus ja haldus "
"74000056";"84112 ";"Rahandus- ja fiskaalpoliitikaga seotud tegevused "
"70004459";"02101 ";"Metsakasvatus ja muud metsamajanduse tegevusalad "
"70003491";"70221 ";"Ärinõustamine jm juhtimisalane nõustamine "
"75010370";"85102 ";"Lasteaedade tegevus "
"75010393";"91011 ";"Raamatukogude tegevus "
"75012251";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75012268";"85102 ";"Lasteaedade tegevus "
"75020233";"85312 ";"Põhikoolide tegevus "
"75011889";"85312 ";"Põhikoolide tegevus "
"75017350";"85312 ";"Põhikoolide tegevus "
"75004783";"85201 ";"Lasteaed-algkoolide tegevus "
"75024892";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75039346";"93291 ";"Kultuurikeskused ja rahvamajad "
"75008887";"91011 ";"Raamatukogude tegevus "
"75008462";"91011 ";"Raamatukogude tegevus "
"75004553";"85102 ";"Lasteaedade tegevus "
"75038492";"85529 ";"Muu huvikoolitus "
"75004530";"85312 ";"Põhikoolide tegevus "
"75004599";"93291 ";"Kultuurikeskused ja rahvamajad "
"75004576";"91011 ";"Raamatukogude tegevus "
"75004524";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75009438";"85521 ";"Muusika- ja kunstikoolitus "
"75023199";"85312 ";"Põhikoolide tegevus "
"75023183";"91011 ";"Raamatukogude tegevus "
"75023177";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75011429";"85312 ";"Põhikoolide tegevus "
"75011441";"91011 ";"Raamatukogude tegevus "
"75002063";"91011 ";"Raamatukogude tegevus "
"75002005";"85102 ";"Lasteaedade tegevus "
"75026253";"85312 ";"Põhikoolide tegevus "
"75027181";"91011 ";"Raamatukogude tegevus "
"75013026";"91011 ";"Raamatukogude tegevus "
"75020380";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70002420";"85321 ";"Kutseõppeasutuste tegevus "
"75009846";"91021 ";"Muuseumide tegevus "
"75009875";"85102 ";"Lasteaedade tegevus "
"75009881";"85521 ";"Muusika- ja kunstikoolitus "
"75009852";"91011 ";"Raamatukogude tegevus "
"75035418";"85511 ";"Spordikoolid "
"75038635";"93291 ";"Kultuurikeskused ja rahvamajad "
"75025503";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75009838";"85313 ";"Gümnaasiumide tegevus "
"75007675";"85313 ";"Gümnaasiumide tegevus "
"75007706";"85102 ";"Lasteaedade tegevus "
"75007729";"91011 ";"Raamatukogude tegevus "
"75007698";"93291 ";"Kultuurikeskused ja rahvamajad "
"75007669";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75038931";"91011 ";"Raamatukogude tegevus "
"75037860";"85529 ";"Muu huvikoolitus "
"75001945";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75001951";"85102 ";"Lasteaedade tegevus "
"75001968";"85312 ";"Põhikoolide tegevus "
"75001939";"91011 ";"Raamatukogude tegevus "
"75001891";"93291 ";"Kultuurikeskused ja rahvamajad "
"75001885";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75018093";"85102 ";"Lasteaedade tegevus "
"75034459";"85529 ";"Muu huvikoolitus "
"75033454";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75023355";"91011 ";"Raamatukogude tegevus "
"70002006";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75008203";"91011 ";"Raamatukogude tegevus "
"75008226";"93291 ";"Kultuurikeskused ja rahvamajad "
"75005469";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75027844";"68329 ";"Muu kinnisvarahaldus või haldusega seotud tegevused "
"75022982";"85102 ";"Lasteaedade tegevus "
"70002029";"91021 ";"Muuseumide tegevus "
"75024544";"85511 ";"Spordikoolid "
"70000148";"71209 ";"Muu teimimine ja analüüs "
"75024538";"85313 ";"Gümnaasiumide tegevus "
"75026336";"85312 ";"Põhikoolide tegevus "
"75026307";"91011 ";"Raamatukogude tegevus "
"75035235";"93291 ";"Kultuurikeskused ja rahvamajad "
"75025822";"91011 ";"Raamatukogude tegevus "
"75023674";"85312 ";"Põhikoolide tegevus "
"75023740";"91011 ";"Raamatukogude tegevus "
"75023705";"93291 ";"Kultuurikeskused ja rahvamajad "
"75004046";"91011 ";"Raamatukogude tegevus "
"75005433";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020701";"91011 ";"Raamatukogude tegevus "
"75019744";"85313 ";"Gümnaasiumide tegevus "
"75027620";"85529 ";"Muu huvikoolitus "
"75019773";"85102 ";"Lasteaedade tegevus "
"75019787";"85102 ";"Lasteaedade tegevus "
"75019796";"85521 ";"Muusika- ja kunstikoolitus "
"75027614";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75037127";"85529 ";"Muu huvikoolitus "
"75028826";"93111 ";"Spordirajatiste käitus "
"75019804";"91011 ";"Raamatukogude tegevus "
"75019738";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75021579";"93291 ";"Kultuurikeskused ja rahvamajad "
"75021586";"85102 ";"Lasteaedade tegevus "
"75021592";"85312 ";"Põhikoolide tegevus "
"75021563";"91011 ";"Raamatukogude tegevus "
"75021557";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75022373";"93291 ";"Kultuurikeskused ja rahvamajad "
"75022309";"91011 ";"Raamatukogude tegevus "
"75015781";"91011 ";"Raamatukogude tegevus "
"75015752";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75020546";"91011 ";"Raamatukogude tegevus "
"75014572";"85313 ";"Gümnaasiumide tegevus "
"75027979";"93291 ";"Kultuurikeskused ja rahvamajad "
"75014600";"91011 ";"Raamatukogude tegevus "
"75013983";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75037943";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75039474";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75014592";"85521 ";"Muusika- ja kunstikoolitus "
"75009421";"85529 ";"Muu huvikoolitus "
"75014557";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75012469";"93291 ";"Kultuurikeskused ja rahvamajad "
"75038233";"85529 ";"Muu huvikoolitus "
"75012400";"91011 ";"Raamatukogude tegevus "
"75012392";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75014586";"85102 ";"Lasteaedade tegevus "
"75034790";"85529 ";"Muu huvikoolitus "
"75009668";"85312 ";"Põhikoolide tegevus "
"75009639";"91011 ";"Raamatukogude tegevus "
"75009622";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75000532";"91011 ";"Raamatukogude tegevus "
"75011091";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75011139";"85102 ";"Lasteaedade tegevus "
"75011122";"85312 ";"Põhikoolide tegevus "
"75011151";"91011 ";"Raamatukogude tegevus "
"70006257";"86211 ";"Üldarstiabi osutamine "
"75001098";"85102 ";"Lasteaedade tegevus "
"75027293";"91021 ";"Muuseumide tegevus "
"75025221";"91021 ";"Muuseumide tegevus "
"75027703";"85201 ";"Lasteaed-algkoolide tegevus "
"75003619";"91011 ";"Raamatukogude tegevus "
"75022232";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75011180";"85313 ";"Gümnaasiumide tegevus "
"75012067";"85312 ";"Põhikoolide tegevus "
"75037920";"85313 ";"Gümnaasiumide tegevus "
"75015373";"85529 ";"Muu huvikoolitus "
"75012038";"85313 ";"Gümnaasiumide tegevus "
"75024828";"93291 ";"Kultuurikeskused ja rahvamajad "
"70004198";"85321 ";"Kutseõppeasutuste tegevus "
"75012015";"85102 ";"Lasteaedade tegevus "
"75013463";"85102 ";"Lasteaedade tegevus "
"75012021";"85102 ";"Lasteaedade tegevus "
"75011174";"85102 ";"Lasteaedade tegevus "
"75012050";"85102 ";"Lasteaedade tegevus "
"75015382";"91011 ";"Raamatukogude tegevus "
"75003909";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75030527";"91021 ";"Muuseumide tegevus "
"75015367";"85521 ";"Muusika- ja kunstikoolitus "
"75012044";"85313 ";"Gümnaasiumide tegevus "
"75036748";"85311 ";"Lasteaed-põhikoolide tegevus "
"75033721";"93111 ";"Spordirajatiste käitus "
"75022864";"91021 ";"Muuseumide tegevus "
"75012771";"85312 ";"Põhikoolide tegevus "
"75037558";"93291 ";"Kultuurikeskused ja rahvamajad "
"75027689";"93111 ";"Spordirajatiste käitus "
"75032236";"85529 ";"Muu huvikoolitus "
"75004978";"85313 ";"Gümnaasiumide tegevus "
"75004990";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75004955";"85102 ";"Lasteaedade tegevus "
"75005009";"91011 ";"Raamatukogude tegevus "
"75004932";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75004949";"91011 ";"Raamatukogude tegevus "
"75005015";"93291 ";"Kultuurikeskused ja rahvamajad "
"75005021";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75015893";"85312 ";"Põhikoolide tegevus "
"75037423";"85102 ";"Lasteaedade tegevus "
"70004465";"85411 ";"Rakenduskõrgkoolide tegevus "
"70000562";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"70008440";"84119 ";"Mujal liigitamata riigi haldustegevus "
"75017969";"85102 ";"Lasteaedade tegevus "
"75038291";"85102 ";"Lasteaedade tegevus "
"75014408";"85312 ";"Põhikoolide tegevus "
"75014356";"93291 ";"Kultuurikeskused ja rahvamajad "
"75014416";"91011 ";"Raamatukogude tegevus "
"75014343";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70009155";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75002287";"85102 ";"Lasteaedade tegevus "
"75002301";"91011 ";"Raamatukogude tegevus "
"75002293";"93291 ";"Kultuurikeskused ja rahvamajad "
"70001975";"84301 ";"Kohustuslik sotsiaalkindlustus "
"70001952";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75026804";"93111 ";"Spordirajatiste käitus "
"70000332";"84113 ";"Majanduse ja sotsiaalse üldplaneerimisega ning statistikaga seot "
"75004702";"91011 ";"Raamatukogude tegevus "
"75012239";"85201 ";"Lasteaed-algkoolide tegevus "
"75012669";"93291 ";"Kultuurikeskused ja rahvamajad "
"75000638";"85102 ";"Lasteaedade tegevus "
"75000609";"85312 ";"Põhikoolide tegevus "
"75000621";"91011 ";"Raamatukogude tegevus "
"75000615";"93291 ";"Kultuurikeskused ja rahvamajad "
"75000644";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75000590";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75028134";"85102 ";"Lasteaedade tegevus "
"75014698";"91011 ";"Raamatukogude tegevus "
"75028223";"91031 ";"Ajalooliste kohtade ja ehitiste jms vaatamisväärsuste käitus "
"75005908";"85313 ";"Gümnaasiumide tegevus "
"75038799";"85311 ";"Lasteaed-põhikoolide tegevus "
"75025472";"93291 ";"Kultuurikeskused ja rahvamajad "
"75005914";"85102 ";"Lasteaedade tegevus "
"75037251";"85529 ";"Muu huvikoolitus "
"75005920";"91011 ";"Raamatukogude tegevus "
"75033448";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75010967";"91011 ";"Raamatukogude tegevus "
"75010915";"93291 ";"Kultuurikeskused ja rahvamajad "
"75038121";"85311 ";"Lasteaed-põhikoolide tegevus "
"75019879";"91011 ";"Raamatukogude tegevus "
"75001900";"91011 ";"Raamatukogude tegevus "
"75009740";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75001307";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75001299";"85102 ";"Lasteaedade tegevus "
"75001276";"85312 ";"Põhikoolide tegevus "
"75001322";"91011 ";"Raamatukogude tegevus "
"75001253";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75029530";"85102 ";"Lasteaedade tegevus "
"75013664";"85312 ";"Põhikoolide tegevus "
"75012506";"91011 ";"Raamatukogude tegevus "
"75009993";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75035393";"91021 ";"Muuseumide tegevus "
"75015321";"93291 ";"Kultuurikeskused ja rahvamajad "
"75015350";"93111 ";"Spordirajatiste käitus "
"75004814";"91011 ";"Raamatukogude tegevus "
"75036429";"88911 ";"Lapsehoiuteenus "
"75014178";"85521 ";"Muusika- ja kunstikoolitus "
"75014215";"91011 ";"Raamatukogude tegevus "
"75031923";"85102 ";"Lasteaedade tegevus "
"75014184";"85102 ";"Lasteaedade tegevus "
"75014149";"85313 ";"Gümnaasiumide tegevus "
"75034927";"85102 ";"Lasteaedade tegevus "
"75002100";"85312 ";"Põhikoolide tegevus "
"75002146";"91011 ";"Raamatukogude tegevus "
"75002123";"93291 ";"Kultuurikeskused ja rahvamajad "
"75002086";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75002175";"91021 ";"Muuseumide tegevus "
"75002078";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75002092";"68329 ";"Muu kinnisvarahaldus või haldusega seotud tegevused "
"75037535";"85529 ";"Muu huvikoolitus "
"75011336";"85313 ";"Gümnaasiumide tegevus "
"75011317";"85102 ";"Lasteaedade tegevus "
"74000047";"66199 ";"Muud mujal liigitamata finantsteenuste abitegevusalad "
"75020782";"91011 ";"Raamatukogude tegevus "
"75002324";"91011 ";"Raamatukogude tegevus "
"75005995";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75023384";"85201 ";"Lasteaed-algkoolide tegevus "
"75023378";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75017975";"85102 ";"Lasteaedade tegevus "
"75000779";"85311 ";"Lasteaed-põhikoolide tegevus "
"75000756";"91011 ";"Raamatukogude tegevus "
"75000762";"93291 ";"Kultuurikeskused ja rahvamajad "
"75017644";"85313 ";"Gümnaasiumide tegevus "
"75018124";"85102 ";"Lasteaedade tegevus "
"75018420";"85313 ";"Gümnaasiumide tegevus "
"75018454";"85313 ";"Gümnaasiumide tegevus "
"75019000";"85102 ";"Lasteaedade tegevus "
"75016993";"85102 ";"Lasteaedade tegevus "
"75018443";"85313 ";"Gümnaasiumide tegevus "
"75017001";"85102 ";"Lasteaedade tegevus "
"70006286";"85321 ";"Kutseõppeasutuste tegevus "
"75021244";"91041 ";"Botaanika- ja loomaaedade ning looduskaitsealade tegevus "
"70003951";"85321 ";"Kutseõppeasutuste tegevus "
"75018236";"85102 ";"Lasteaedade tegevus "
"75038262";"84139 ";"Muud majandustegevust toetavad tegevused "
"75023817";"84139 ";"Muud majandustegevust toetavad tegevused "
"75016088";"93299 ";"Muud mujal liigitamata lõbustus- ja vaba aja tegevused "
"74001920";"84231 ";"Kohtute tegevus ja haldus "
"75016556";"85102 ";"Lasteaedade tegevus "
"75014289";"84121 ";"Hariduse haldus "
"75017389";"85313 ";"Gümnaasiumide tegevus "
"75017656";"85313 ";"Gümnaasiumide tegevus "
"75016486";"85529 ";"Muu huvikoolitus "
"75017662";"85313 ";"Gümnaasiumide tegevus "
"75018058";"85102 ";"Lasteaedade tegevus "
"75017685";"85313 ";"Gümnaasiumide tegevus "
"75018963";"85313 ";"Gümnaasiumide tegevus "
"75019141";"85102 ";"Lasteaedade tegevus "
"75038486";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75018934";"85102 ";"Lasteaedade tegevus "
"75019112";"85312 ";"Põhikoolide tegevus "
"75027896";"96032 ";"Kalmistute ja krematooriumite tegevus "
"75016579";"85102 ";"Lasteaedade tegevus "
"75017828";"85529 ";"Muu huvikoolitus "
"75034904";"85102 ";"Lasteaedade tegevus "
"75032325";"84125 ";"Keskkonnakaitse haldus "
"75016361";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75014221";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75017716";"85313 ";"Gümnaasiumide tegevus "
"75016071";"91011 ";"Raamatukogude tegevus "
"75038457";"85102 ";"Lasteaedade tegevus "
"75019371";"86901 ";"Kiirabi ja parameedikute tegevus "
"75018213";"85102 ";"Lasteaedade tegevus "
"75029725";"85102 ";"Lasteaedade tegevus "
"75017030";"85102 ";"Lasteaedade tegevus "
"75017047";"85102 ";"Lasteaedade tegevus "
"75016645";"85312 ";"Põhikoolide tegevus "
"75018360";"85102 ";"Lasteaedade tegevus "
"75014913";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"70003885";"85312 ";"Põhikoolide tegevus "
"75029429";"85321 ";"Kutseõppeasutuste tegevus "
"75017403";"85529 ";"Muu huvikoolitus "
"75016533";"85313 ";"Gümnaasiumide tegevus "
"75016496";"85102 ";"Lasteaedade tegevus "
"75018041";"85102 ";"Lasteaedade tegevus "
"75016562";"85102 ";"Lasteaedade tegevus "
"75014971";"84124 ";"Vaba aja tegevuse, kultuuri ja religiooni haldus "
"75017372";"85313 ";"Gümnaasiumide tegevus "
"75016177";"85521 ";"Muusika- ja kunstikoolitus "
"75016852";"85313 ";"Gümnaasiumide tegevus "
"75017053";"85102 ";"Lasteaedade tegevus "
"75016869";"85313 ";"Gümnaasiumide tegevus "
"75016875";"85312 ";"Põhikoolide tegevus "
"70003767";"85321 ";"Kutseõppeasutuste tegevus "
"75019247";"87909 ";"Muude mujal liigitamata hoolekandeasutuste tegevus "
"75018495";"85102 ";"Lasteaedade tegevus "
"75019158";"85102 ";"Lasteaedade tegevus "
"75016734";"85102 ";"Lasteaedade tegevus "
"75019017";"85102 ";"Lasteaedade tegevus "
"75019023";"85102 ";"Lasteaedade tegevus "
"75016958";"85102 ";"Lasteaedade tegevus "
"75016740";"85102 ";"Lasteaedade tegevus "
"75017067";"85102 ";"Lasteaedade tegevus "
"75016757";"85102 ";"Lasteaedade tegevus "
"75019035";"85102 ";"Lasteaedade tegevus "
"75017857";"85102 ";"Lasteaedade tegevus "
"75016763";"85102 ";"Lasteaedade tegevus "
"75016770";"85102 ";"Lasteaedade tegevus "
"75019046";"85102 ";"Lasteaedade tegevus "
"75019164";"85102 ";"Lasteaedade tegevus "
"75016786";"85102 ";"Lasteaedade tegevus "
"75019170";"85102 ";"Lasteaedade tegevus "
"75019052";"85102 ";"Lasteaedade tegevus "
"75030622";"85102 ";"Lasteaedade tegevus "
"75018101";"85102 ";"Lasteaedade tegevus "
"75018911";"85102 ";"Lasteaedade tegevus "
"75019187";"85102 ";"Lasteaedade tegevus "
"75018986";"85102 ";"Lasteaedade tegevus "
"75022539";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75016728";"85101 ";"Lastesõimede tegevus "
"75017490";"85101 ";"Lastesõimede tegevus "
"75032940";"85102 ";"Lasteaedade tegevus "
"75018940";"85102 ";"Lasteaedade tegevus "
"75016585";"85102 ";"Lasteaedade tegevus "
"75018472";"85102 ";"Lasteaedade tegevus "
"75017076";"85102 ";"Lasteaedade tegevus "
"75019069";"85102 ";"Lasteaedade tegevus "
"75018302";"85102 ";"Lasteaedade tegevus "
"75018390";"85102 ";"Lasteaedade tegevus "
"75016591";"85102 ";"Lasteaedade tegevus "
"75016510";"85313 ";"Gümnaasiumide tegevus "
"75017082";"85102 ";"Lasteaedade tegevus "
"75014942";"91012 ";"Arhiivide tegevus "
"75014920";"84119 ";"Mujal liigitamata riigi haldustegevus "
"75016183";"91021 ";"Muuseumide tegevus "
"75017099";"85102 ";"Lasteaedade tegevus "
"75016898";"85313 ";"Gümnaasiumide tegevus "
"75023823";"71111 ";"Arhitektitegevused "
"75016094";"90011 ";"Teatri- ja tantsuetenduste lavastamine ja esitamine "
"75023757";"84131 ";"Põllumajanduse, metsanduse, maakasutuse, kalanduse ja jahinduse "
"75015031";"84119 ";"Mujal liigitamata riigi haldustegevus "
"75016605";"85102 ";"Lasteaedade tegevus "
"75017107";"85102 ";"Lasteaedade tegevus "
"75016102";"91041 ";"Botaanika- ja loomaaedade ning looduskaitsealade tegevus "
"75018354";"85102 ";"Lasteaedade tegevus "
"75016906";"85313 ";"Gümnaasiumide tegevus "
"75017113";"85102 ";"Lasteaedade tegevus "
"75017722";"85102 ";"Lasteaedade tegevus "
"75017121";"85102 ";"Lasteaedade tegevus "
"75016912";"85312 ";"Põhikoolide tegevus "
"70003460";"85411 ";"Rakenduskõrgkoolide tegevus "
"75029731";"85102 ";"Lasteaedade tegevus "
"75019193";"85102 ";"Lasteaedade tegevus "
"75016823";"85312 ";"Põhikoolide tegevus "
"75018331";"85102 ";"Lasteaedade tegevus "
"75017142";"85102 ";"Lasteaedade tegevus "
"75016540";"85102 ";"Lasteaedade tegevus "
"75034502";"84249 ";"Muud avaliku julgeoleku ja korrakaitsega seotud tegevused "
"75017159";"85102 ";"Lasteaedade tegevus "
"75018503";"85313 ";"Gümnaasiumide tegevus "
"75018519";"85313 ";"Gümnaasiumide tegevus "
"75018526";"85313 ";"Gümnaasiumide tegevus "
"75018992";"85313 ";"Gümnaasiumide tegevus "
"75016616";"85102 ";"Lasteaedade tegevus "
"70004287";"85313 ";"Gümnaasiumide tegevus "
"75016160";"85521 ";"Muusika- ja kunstikoolitus "
"75019075";"85102 ";"Lasteaedade tegevus "
"75017509";"85102 ";"Lasteaedade tegevus "
"75019098";"85102 ";"Lasteaedade tegevus "
"75018288";"85102 ";"Lasteaedade tegevus "
"75019201";"85102 ";"Lasteaedade tegevus "
"75016651";"85313 ";"Gümnaasiumide tegevus "
"75016668";"85529 ";"Muu huvikoolitus "
"75016674";"85312 ";"Põhikoolide tegevus "
"75035453";"85102 ";"Lasteaedade tegevus "
"75016935";"85313 ";"Gümnaasiumide tegevus "
"75017194";"85102 ";"Lasteaedade tegevus "
"75017165";"85102 ";"Lasteaedade tegevus "
"75017171";"85102 ";"Lasteaedade tegevus "
"75016148";"93291 ";"Kultuurikeskused ja rahvamajad "
"75033649";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
